用户名,评论时间,评论内容,评分,赞同数,情感
肆壹陆,2023/5/2 13:38,就算没有删掉的那些镜头，这部电影已经超过光线以往的水平，不至于低于7分吧。,50,81,1
奥特曼,2023/4/28 22:48,看了眼票房，一个愿打，一个愿挨，又能怪谁哩，供需平衡。,10,179,0
得想个办法偷懒,2023/4/29 17:22,"？看崩溃了  感觉像诈骗
张新成你别演校霸了  一股聪明劲！
妈的  我的评价是还没有宣传好看",20,121,0
喑川,2023/4/28 20:38,感觉被营销诈骗看得我坐立难安如坐针毡 别爱了别刻板印象强制建立冲突了别说台词了安安静静拍mv吧,10,175,0
油娜,2023/4/28 20:12,看这个电影不笑的都是不懂humor的人,10,154,0
北纬阿德,2023/4/28 21:00,这是一部爱情电影，但是这部电影里最不好看的部分就是爱情部分。 ps：张新成在这部电影里着实有点水土不服。,20,215,0
第十个缪斯,2023/4/29 12:09,男女主太甜太好嗑了！看青春爱情片，我特别怕女主装清纯，但是不得不说孙千的颜是真的可以，特别有高级感。之前看综艺觉得她像全智贤，这次电影里的表现也很拿得出手，学生时期的清纯感自然毫不做作。成年后又有一种很克制的妩媚，冷颜高级感真的可以。而且她跟张新成真的好搭，感觉是近几年难得好嗑的一对儿。在一起的吻戏也好绝啊！亲热戏真拉丝啊！看得我热血沸腾的，晚上回家想啃死我那小男友。不过男主的围巾论真的太扎心了，过程中还是有些轻虐的，可以带包纸。Ps：锅姨太吓人了，有没有锅都很让人害怕。,40,551,1
嬉儿,2023/4/28 20:46,张新成真的太割裂了 孙千学生时期演得不错 后期真的没有反差感 这个本子只适合演电视剧 慢慢铺 电影节奏太奇怪了 很多东西都没铺出来 两人可以说是毫无cp感,20,145,0
一起去吃瓜,2023/5/1 19:19,"有点零碎, 像是从电视剧截取了很多片段后组成的电影",30,18,1
Wallacelove,2023/4/28 21:21,孙千好有陈见夏的感觉,30,41,1
CCe_,2023/4/30 9:38,我最恨强行团圆，不是父母暗中关心就能洗白，是陈见夏自己强大起来足够站稳脚跟，不需要那些所谓的认可也不必再恨了，电影体量原因抹去了很多高光，不太推荐,20,66,0
林惊羽,2023/4/28 20:52,张新成已经没有林杨的清新感了 整场下来特别别扭 能看得出来 他努力想刻画李燃的吊儿郎当 但是总给人感觉 好孩子在故意装坏孩子的感觉 尬,20,96,0
四十二,2023/4/28 21:47,书粉报道！好看！张新成剧抛脸，放大看更帅了！,40,471,1
枫林晚,2023/4/28 22:06,充分说明了，找有演技的演员和有CP感的男女主角的重要性,30,58,1
豆瓣天后董小姐,2023/4/28 21:42,总要真的爱着些什么，才能抗住生而为人宿命般的孤寂感。电影《这么多年》和一般爱情电影的最大不同，是混杂在情爱里的人的复杂和飘零，只有经历时间和空间的遥遥相望，才能在记忆里留下刻在骨血里的人和事。有着“东北全智贤”之称的孙千，本身就长了一张极具故事感的脸庞，媚而不妖，耐看度极高，给电影增加了很大的看点。张新成也找到了李燃这个角色的精髓，学生时代帅痞憨直，10年后是在生意场上摸爬滚打出来的圆滑“油腻”（油腻并非指演员，是角色需要）。俩个人意外的有CP感。,40,578,1
特吕弗的摄影机,2023/4/28 20:48,"cp感玄学 
孙千青涩纯净

“我们像不像在星空里，没有来路，也没有归途。”",0,20,0
Sakura,2023/4/28 20:45,"说实话，这是近两年看到的为数不多的可以四星及以上的青春文艺爱情片。
原生家庭不幸福的小孩需要很多很多爱才可以相信被爱、被治愈。
有笑点也有泪点。两人相互救赎相互成长。“废物啊，想陪你一起去南京呀，行吗”泪目。影片也有很多很美的画面，雪地、海边……
原谅我兜兜转转，还停留在原地。",40,570,1
Pr?vedag????,2023/4/29 14:02,菩萨知不知道我这两个小时有多痛苦,10,80,0
未昂,2023/4/28 20:12,本哥多来点大荧幕作品求求了！！！????我觉得是好看的！比之前看的光线的有些一言难尽的青春片好看一万倍！！！！几乎可以打满分的青春爱情！李燃的人设简直满分??,50,488,1
菠萝羊角,2023/4/28 20:51,男主不太还原，女主还不错哦。cp感一般般。,20,114,0
每天都很饿,2023/4/28 22:13,"（粉丝别来私我，我对主演都没意见，电影太差我还不能评价了？珍惜自己羽毛拍点好电影吧）
这故事透着一股过时感，强行制造矛盾尬得慌，无聊到在电影院早早吃光我的爆米花，故事线蛮悬浮的，电影院都是情侣，也不知道他们觉得好不好看，反正我觉得不好看，女主这人设太差了，单方面被拯救的故事真的算爱情吗？现在观众真的吃这套吗？
朋友请我看的，她电影卡要到期了，还好她不是粉丝最后出电影院跟我一直在吐槽，要不然我都不好意思打这个一星，五一档看看其他电影，等等口碑，再也不当小白鼠再也不信抖音电影宣传诈骗了??你们电影出品方能不能别这么土啊，青春疼痛还在用十几年前的剧本？有点创新行不行？",10,107,0
细嗅蔷薇,2023/5/4 12:40,还行。张新成不太演得出小痞子的样子，还是县委大院呆呆傻傻的书生气适合他；孙千是个好苗子，好好打磨演技以后应该戏路会很宽…为了俊男美女打三星，凭心而论这剧情如果不是这两位主演我会给一星，很脑残！特意为了激化矛盾，把陈见夏搞得那么惨，最后又为了升华亲情，揭示她妈其实爱她，根本就说服不了观众好吗！强行推剧情，又强行自圆其说，编剧真是垃圾…,30,10,1
地狱蛋,2023/4/28 23:21,太难看了，避雷青春光线吧????我应该拍拍我的脑门问问自己，为什么要来看这个片子，俩小时我可以看十遍《稍微想起一些》,10,62,0
adieu,2023/4/29 4:53,"这么说吧，正片不如预告，预告不如短视频营销
看短视频就啊啊啊嗑到了，看预告就呜呜呜被偏爱真好，看全片就啊啊啊就这？",30,65,1
DADA,2023/4/28 21:36,3.5/演员演得不错，前后十年学生时代和成年阶段都挺带入的，笑点也挺多，剧情酸甜都有。/但是剪辑几处转折的很突兀，感觉是拍了但是剪了…… 动人感人处也少了点氛围烘托，总觉得差了点戳心窝的东西,40,122,1
希望是比格犬,2023/4/28 20:10,看的好痛苦 为什么来受这个罪 这他吗最后也能洗  我真要吐了 我说真的 我真的第一次直面被??7创,10,103,0
JoeyLu陆柏宇,2023/5/1 23:33,出乎意料的，没那么俗套,30,2,1
keiko,2023/4/29 0:33,"在振华系列的所有角色里，曾经我最不懂李燃和陈见夏。我一直怀疑着，那些内心深处不可言说的黑暗情绪，真的可以对他人袒露得如此彻底吗，真的有人可以治愈这一切吗。
直到今天，我看见陈见夏在雪地里哭着说她的自卑、好强、不堪的家庭，但李燃说这一切没有什么大不了，她可以在他面前永远自由地做自己；我看见李燃喝酒赔笑脸，而陈见夏坚定地握着他的手；我看见李燃送别陈见夏时隐忍的痛苦，而陈见夏拥有了破釜沉舟的勇气，再次回到李燃身边。
天啊，原来爱情的真身是这副模样。也是因为被治愈过了，所以才开始相信电影中的这一切虚幻，都可以是真实。",50,61,1
亵渎电影,2023/5/2 23:05,十年前这么拍就算了，十年后还这么拍，目测光线的这个女性爱情片大数据，还可以再拍十年。,20,14,0
核仁烤排骨,2023/4/29 18:58,国产爱情片分几种，这种属于恶心人的。行活，不烂，但是够无聊，内容够下沉，内核够封建，让你如坐针毡两小时。这片简直踩了本人所有的雷区：在重男轻女家庭长大一心逃离的小镇女孩为爱回归故土继续做扶弟魔，表面看起来男主深情但最后还是女主放弃一切，哦，男主欠了债，所以大概率他们婚后还会共担债务，真浪漫??。重男轻女全是母亲偏心，隐身的父亲在死前还能狠狠洗白，更不要提学校里疯狂刁难女主只因暗恋男主的恶毒女配，很难想象2023年还会有这种low片。可别吹女导演了，影厅里看见女主打女配耳光大声叫好的也是女观众，feminism从来都只是women的充分不必要条件。再说一次，恶心死我了。,10,61,0
男巫小叶子,2023/5/1 20:46,"感觉很久没有在国产青春片里看到CP感强、又能互相接住戏的男女主了。虽然张新成、孙千一定程度上在重复以往的角色，但两人之间奇妙的共情力让这段中规中矩、没啥新鲜劲的破镜重圆变得又甜又虐，很有说服力。而且他们都是银幕脸，不少镜头都让我在内心感叹太养眼了。

很喜欢陈见夏的人设，她在重男轻女的原生家庭和充满规训的尖子生校园里，从自卑却带点傲气变得敢想敢做，真的好棒！刘丹老师饰演她的母亲，再现令人窒息的神级演技，为影片增色不少。",40,20,1
草莓小狗（丧夫,2023/4/28 20:41,为什么这么难看....矫情尴尬让人理解不了的爱情....真青春疼痛文学....难看到我在电影院吐槽....,10,108,0
大上海红牡丹,2023/4/28 23:00,男女主没有CP感真的难以下咽,20,121,0
突然粉碎,2023/4/28 23:04,这么多年还对光线的爱情片心存侥幸，真是该死，三言两语能说清的能不能别拍俩小时？本哥孙千吻得很逼真，但是cp感仍然为0??,20,36,0
春天游泳,2023/4/28 20:22,难看 报看 坐如针毡 国产爱情剧水平还是如此 超级难看 说的是圣母女主和强行洗白的妈妈弟弟和解的故事 一个片段就能和解十几年的恨 扯呢这不是？一星都不想给什么傻13编剧 退钱????,10,114,0
書衣偵探華斯比,2023/4/30 22:39,为本哥而来。女主母亲是“锅姨”演的，太特么令人窒息了！瑟瑟发抖，（噩）梦回《开端》??????“有多少爱可以重来，有多少人值得等待，当爱情已经桑田沧海，是否还有勇气去爱？”,40,19,1
如山海,2023/4/28 20:32,还挺好看的！张新成好会演！（不过这样的男人现实中应该不存在吧）,40,251,1
丽塔.,2023/4/28 22:49,剧情稀碎，光线就是国产青春片里的漫威。,10,129,0
夏末,2023/4/28 20:39,五星给最好最好最最好的李燃 能牵着李燃跑出ktv，能承认自己妒忌的有很多缺点的陈见夏也很值得  重逢的时候，虽然还是不完美的我们，但已经可以坦诚说出那句“你和未来，都可以要”也太好了,50,318,1
郑在玹转小火锅,2023/4/29 15:23,如坐针毡，如芒刺背,10,62,0
小肥肥想去流浪,2023/4/30 13:23,至此，八月长安的的振华系列全部都搬上了大荧幕，故事的青春里所有的美好都圆满了，小书里我更偏爱这一部，生活好像更现实一点，爱情还能圆满，隔着时空祝福见夏和李燃。,40,40,1
美式芽,2023/4/28 22:10,张新成他值得！他值得！恭喜老干部继林杨后，又找到了一个绝世好男人人设。出乎意料的是，除了提前放出的预告，正片还有很多惊艳的片段。作为一部爱情片，又甜又好磕，还要什么自行车呢。完成打卡?。,50,239,1
奶茶三分糖??,2023/4/29 17:54,没感觉多刻骨铭心 没感觉冲突爆发点 所以 这么多年去哪了,20,40,0
Luminie,2023/4/30 22:04,剧情细碎，剪的也细碎，男女主莫名其妙的吵架，莫名其妙的和好，莫名其妙的暧昧。女主台词功力有待加强，存在气泡音和吐字不清。我仍然对小太阳出演李燃这件事耿耿于怀，演的挺用力但依然是你好旧时光里的学霸印象。很多场景有种P图的感觉，两人在南京旅游摊牌那段挺让人难受的。原著楚天阔好歹也是个男配，这里只出来了一个镜头，选角也不如剧版你好旧时光里的楚天阔。对于没有让小潘主任出演给予强烈抗议，没有小潘怎么能算是完整的振华！营销的真的过头，期待了蛮久观影后却满是失望。,20,24,0
四月三周两天,2023/4/28 22:53,救命啊，不要再来圈钱了好嘛？剧本很烂很烂很烂,10,126,0
徐同学罢啦,2023/4/30 1:08,演员特别好看 镜头特别美 化学反应也很吸引人 但是剧情可以说是和原著没有半毛钱关系 好多本来应该交代清楚的东西都没有讲清楚 于丝丝和李燃之前有什么过节 见夏为什么莫名其妙出了国 李燃怎么爱上的见夏 怎么他们俩在车行重逢后就一笑泯恩仇了 还有凭什么最后就给郑玉清洗白了？？但凡看过一点原著都知道见夏的母亲真的是一个特别讨人厌的角色 还有好多特别经典的情节都没拍出来真的特别遗憾 最后两个人和好见夏在上海机场哽咽地对李燃说我爱你也没有拍出来 总之这个剧情就是一坨狗屎看的真的很生气 幸好看过原著对一些地方还能有基本理解 没看过的话整个电影就是一个云里雾里,10,34,0
pagliacci,2023/4/30 1:16,就整个浆糊般的故事而言，演员甚至都显得有些过分认真了。,10,32,0
Parallax...,2023/5/1 16:43,他以前一直想看她能飞到哪，结果最后她飞到的却是他自己的怀里，见夏的母亲说，女孩吗不需要做些什么，需要的是找个男人，找个依靠，结果那，虽然过程是反叛的，但最后见夏还是成了她一直反叛的母亲所说的那样的人，当然这里可以说她是为了爱，但爱本身并不仅仅是关乎于爱的，因为当她在选择一段爱的时候，就已经放弃了某些东西，而这些东西必然会在电影中构成一种象征性的意义。,30,5,1
机械月亮,2023/4/30 1:04,改得稀碎，里面所有人的性格都太模式化了，逮着一个特点使劲儿描写放大，很生硬。一颗星是给张新成和孙千的脸的。（但张新成还是适合演好孩子，他演的李燃太“坏”了，但其实李燃更偏调皮一点。,20,12,0
sweet rain,2023/4/28 20:19,张新成的演技和歌声给电影加分了。本质是一个重男轻女家庭女孩励志的成长故事，然后遇到了一个长情的男生。喜欢这种整体淡淡的故事，所有人演技都不错，包括配角。,40,209,1
Microcosm.,2023/4/28 23:35,"少女陈见夏遇到了少年李燃，她脆弱敏感却要强，缺爱而孤独；他玩世不恭却细腻，坦荡而专情。他们彼此小心翼翼又不太懂爱，见夏在前途和李燃面前选择了前途，所以他们就这样错过了十年。

于是长大后的他们重新相遇，在回忆和拥抱里找寻逝去的爱，陈见夏对李燃说：围巾和翅膀，你和未来，我都想要。

突然想起某个下午看过的一段话：你终会明白，前程比爱情重要。你还会明白，爱情比前程更难得。到最后你会明白，对的人应该站在你的前程里。

还好李燃够努力，还是见夏喜欢的样子，遗憾的是我们大部分人没能和喜欢的人走到最后。

祝福陈见夏和李燃，振华的青春终会落幕，我们也要长大。想起高中的操场，有一些回忆也有一些痛苦，过去的日落和晚风以及时光里爱过的人。

希望他过得比我好，好抵我多年的意难平。",40,50,1
西楼尘,2023/5/6 22:13,他送你折断的翅膀，甘愿做压箱底的围巾，整个南京之行他都知道你会离开，可还是做困在水族馆里的灯塔水母。是熬过多少担心你离开患得患失的夜，接受船长将航船开走的选择，还愿意出现在医院拥抱无助的你。围巾和翅膀都想要，醒来见到他才是做梦。原来去振华中学不是求知也不是脱贫，而是为了与他相遇。,20,0,0
光明行,2023/4/28 23:58,额。。。这电影。。，额。。。。真的。。。额,20,53,0
淡蛋蛋淡,2023/4/29 9:47,振华宇宙交到光线手里算是完了,10,37,0
mine,2023/4/29 19:09,看了这么多年，只会心疼我浪费了这么多钱,10,21,0
我情绪零碎KAI,2023/4/30 17:24,表演是上下浮动的标记物，更直观的海平面是光线「这么多年」一如既往的量产青春片基准线。,10,14,0
加油加油再加油,2023/4/28 21:32,每想到还挺好看的，有笑点也有哭点，李燃和爷爷那里给我哭得好大声，重男轻女的家庭这一点让我很有共鸣，还有张新成好有喜剧天赋，希望以后能看到他演一部纯喜剧电影。,50,159,1
Hiroro,2023/4/28 22:28,刚刚走出电影院，超喜欢女主的演绎，她在电视剧风吹半夏里面是一个个性十足的美女，现在演中学生也毫无违和感，我个人对张新成比较无感。这个电影特别真实，不同于以往的青春爱情片，只有和女主有类似原生家庭才懂那种被忽视的窒息感。,40,48,1
阳弘,2023/4/29 0:51,看完电影，街头外下着雨,30,11,1
那就改个名字叭,2023/4/29 23:41,情节老套，台词矫情，三星都给演员们的演技。（全程都被班花和妈妈气的冒烟，还有最后企图用好面子+嘴硬来给妈妈洗白，这妈妈不就是纯纯重男轻女吗？,30,19,1
Foggysnow,2023/5/1 15:49,以我最近在老福特和ao3上看的cp文的水平来看，这个剧本真的不合格（太太们那还是为爱发电呢，写得远胜于此,20,6,0
阿弥菠萝,2023/4/30 18:26,一部流水账,20,6,0
Fly free,2023/4/29 21:19,"实在是受不了林杨来演李燃，尽管演技不错，但是不觉得很怪吗，余周周还和陈见夏做同桌……真是一个敢选一个敢演
——————
很多桥段特别生硬，导演功力还是不够，而且张新成应该是被逼着演的，感觉不够自信，孙千还行。
另外，很多片段真的不行，感情戏毫无基础，CD机、香格里拉（飞船桥段）、还有最后南京告别都是比较拉跨的，原著的高光拍的不够爽快，而且和母亲的和解（死亡）也没拍出来。
总的来说，比较可惜，虽然比前两部振华系列电影版好不少，但是看的出来制作班底的能力还是很弱
最后，“你读书是为了求知还是脱贫”当年那么震撼我的话居然拍的这么尴尬搞笑！

2023.4.29 NB和ZSH 电影院",30,9,1
parachute,2023/4/29 23:20,想出国留学 想离你们越远越好…东亚有弟小城女孩的噩梦 只不过我们并没有张新成也不可能有,30,4,1
sweetbear,2023/4/30 17:56,张新成气质既不像学渣，也不像东北男生。男主不懂为什么对女主无条件的好，看不到这个角色的真实个性。流水账一样的爱情故事真有点吃不消。,30,5,1
林丁丁,2023/4/28 20:16,"披着爱情剧的皮上演扶弟魔的剧情，冤大头富二代男友，扶女主全家。
男主学生时代带女主吃饭喝咖啡滑雪，重圆以后女主爸爸病了，男主为了他爸又是陪酒又是出钱出力，女主分币不出，主打一个陪伴，哦没有陪伴，破镜了十年……",20,16,0
宁远,2023/4/29 22:06,女主加一星,20,7,0
半青,2023/4/30 21:23,张新成一星 孙千一星,20,6,0
这人要瘦到95斤,2023/4/28 22:17,这么多年了，小说改编的青春校园电影有剧情说得过去的嘛，有真实、生动、靠谱、平民、符合人性的爱情嘛，没有啊！但是我还是被这波宣传给洗脑了，明明知道一定会烂，但还是想看久别重缝的戏码。就是一个被欺骗和侮辱的感觉，那些在宣传里让我心动的场景，一个都没有，被短视频坑害的我。行吧，看看美貌的孙千也不错，当个MV看吧。,20,29,0
耶耶,2023/4/29 0:47,光线又是你??,10,76,0
Hans,2023/4/29 1:33,"还是那句话，国产青春片请不要祸害心智还不成熟的初高中生。
张新成很帅，摄影师的画面给得很唯美，镜头有炫技的成分，蛮会用光的一个团队。剪辑剪得稀碎（可能是有的画面不让播，抽烟那段就没播），女主打把伞在雨里面跳舞属于“致敬”的桥段，东拼西凑的俗套剧情， 毫无深度的人物，脱离不了资本的爱情（不是物质，纯资本），导演拍的不是爱情片，是幻想片，拍半天感动了自己。混混和好学生人设让我想到陈念和小北，但他俩是互相救赎，主题明确深刻。但这部电影，如果李燃只是个爱装b的穷混混，陈见夏肯定不会喜欢他。李燃是带陈见夏见了世面，但这个“世面”未免也太狭隘了，陈见夏最终想见的并为之努力的“去更大世界”，也只是李燃所生活的富人的世界。这部片子的确揭开了青春的伤疤（锅姨演的妈确实很窒息），但是用资本当药敷好了伤口，离谱。",20,18,0
涂山容容,2023/4/30 9:24,国产的爱情片还有救吗？以后再也不上当了，爱情片=烂片。在痘印上还诈骗宣传有些电影里根本没有……,10,38,0
连城易脆,2023/5/1 13:59,"又是一部青春光线的流水线工业快餐功能电影。由于我不是这部电影的精准受众，因此完全无法有任何共情，于是大多数注意力都被电影里那些过于生硬和刻意的情节所吸引。

例如，为了表现女主角母亲的重男轻女思想，未免也太离谱了，正常情况下，母亲怎么可能说出或者做出这么夸张的行为，就算有这样的人物存在，也不能这样去表现，缺乏信服力，最离谱的是最后还是同女儿完成了和解，这样的妈，和解个鸡儿啊。

再说男女主的感情线，这套故事设定也未免太过陈旧了，我坐在影院里总有一种我在看10年前的言情小说的感觉，哪怕是有原著小说，还是应该多做一下符合当下性的改编，否则味儿真的有点儿不舒服。

咱就是说，即便要拍青春校园爱情电影，能不能换点儿模式来拍，真的很乏味很腻很没有新意，哪怕先照着日本纯爱电影抄一抄感觉呢？",30,4,1
wei0303,2023/4/28 21:31,没看过原著，感觉还是挺感人的。特别是校园的部分，纯爱的感觉挺好的，看着让人忍不住发出微笑，又忍不住跟着擦泪。虽然有些地方不是非常合理，太过纯爱以及各种和解。然而回忆以及感受这种纯爱还是挺好的。校园部分挺有说服， 成年的稍微差些。,40,104,1
Harper,2023/4/29 1:20,如鲠在喉 如芒在背,10,42,0
进击的海豚,2023/4/28 21:47,张新成塑造的李燃和林杨还是大区别的，可乖可痞，演技没有让人失望。电影是男女视角各自的久别重逢互相救赎，是女主视角的为了逃离原生家庭破釜沉舟选择的十年征途，这么美好的陈见夏让人心疼。跟甜甜的爱情相比，电影所揭露的原生家庭这个社会问题更应令人深思。,40,112,1
Hugh,2023/4/30 18:43,看得折磨，旁边的女中学生哭得稀里哗啦很难理解,10,23,0
望潮,2023/4/29 10:50,Get不到男主，孙千美死了！太可爱了！,30,3,1
巨星泡饭,2023/5/10 19:54,看了二十分钟已经烂片预警了 什么鬼 两小时讲不好一些基本的逻辑 校园早恋舍不得剪 成年人爱情莫名其妙 确实是我想多了 本哥第一部电影又能接到啥好本子 我就想知道 凭什么新加坡大学会把名额给一个年级第87名口语还不行的学生还包六年工作？还有男主有能力去英国读预科 为什么不和女主一起去新加坡读书？而且太可怕了 现在doi不脱衣服的症状已经从电视蔓延到电影了 男主好好一个富二代比女主还自卑 前一天还在买玛莎拉蒂 后一天就欠债了 女主爸前一天刚住进vip病房有肝源 后一天就噶了 这都啥啊 别老想着洗白伏弟魔 重男轻女主打一个批判就对了,20,1,0
素衣染天香,2023/5/3 16:16,冲着男女主的颜值多打一个星。这剧情不理解到底想讲什么，想讲原生家庭困扰的女孩的成长？没见怎么打拼啊。讲亲情的和解？全剧的重男轻女这么讨人厌的弟弟和妈。就那么轻飘飘一句话就能和解？讲爱情？回忆里的少年多数是女主视角，两个人在一起时甜蜜的多是闪回。根本没有啥让人感动的瞬间。。好不容易成年后多年不见遇到了。还是被裹在亲情里。事实上我至今没被两人的感情打动到。有点想导演自己被自己感动了。可能也怕观众感动不了。就只能加让人感动的配乐。这电影吧，讲真。来个30分钟的长mv就行了。实在没必要拍成电影。,30,12,1
微信用户,2023/4/30 16:10,难看,10,14,0
小洋葱,2023/4/28 22:39,花絮比正片好看系列…拼拼凑凑的剧情 衔接非常不自然 感觉一直在看小说里的某个片段剪辑,20,33,0
monica喵,2023/4/29 13:32,青春的错过很难再遇见，不管时光变迁，初恋永远难忘,50,27,1
Sissi,2023/5/4 18:24,一开始以为是爱情片，但其实是女主成长故事，不过小镇做题家、重男轻女家庭背景、考大学一定要考远一点……这些设定都让我狠狠代入了，一路哭惨了～男主虽然有点工具人 ，但张新成在大银幕上也太帅了吧～～,40,5,1
馆馆,2023/4/28 23:21,"会给7分，八月长安的本子现在看也还是很戳心，小镇做题家女主被重男轻女打压出的敏感和自卑，争吵的母女占了最多戏份，最后却又能以一句“这个家里两个男的，一个躲清净一个是摆设，永远只有我和你在吵”把消失的男性拉回审判台，这设计太妙了
很爱女主人设，不靠男主解决麻烦，不为爱情放弃飞升机会，激情戏最后那个镜头她盯着李燃，眼中混合着情欲和心疼掉下一滴泪，美绝了。最后如果不辞职会更讨我喜欢，当然可能那样就太不爱情片了
顺便夸夸选角，章若楠看上去就是娇生惯养大的城里女孩，和孙千同框时确实担得起校花头衔，然而孙千单人镜头一怼脸又美得别有韵味，摄影很有一套，居然连张新成的眼窝都能拍消失，配上炸毛发型瞬间年轻10岁

ps：这片子真的不准备来南京搞个活动吗？南京含量这么高，拍得还挺美",30,22,1
瑞波恩,2023/5/6 14:12,“在我面前你谁都不用做，做你自己就好了。”谁都想在最好的年纪遇见最好的他（如同偶像剧），倔强小镇做题家的童话人生，对原生家庭的描绘挺真实容易有代入感（刘丹的妈妈演太好啦），省重点高中尖子生们的竞争“太卷”，也许成长就是越挫越勇独当一面的历练吧，祝愿你兜兜转转也能过上理想生活，遇到相伴一生的灵魂伴侣，千帆过尽不留遗憾当然最好了……ps，这么多年了二熊始终如一还是“恋爱脑”，陈见夏历经沧桑也何其有幸，但现实中会有李燃这么包治百病的治愈系帅bf嘛？,40,1,1
吸橙,2023/4/28 23:29,没看过小说就不谈小说翻拍的感受了，单纯从电影来说，反而爱情的段落对我还好，女主原生家庭的氛围才是让人印象深刻；男女主我是蛮喜欢的，看的很开心,30,9,1
芝芝芒芒,2023/4/28 21:50,"合格的青春片，不狗血，剧情流畅，剪辑稍微有点碎，感觉比较适合拍电视剧
河边夕阳下那段画面非常好看，导演审美很好",50,166,1
兔安叽,2023/5/2 15:27,导演和演员都拿出来十足诚意，前半段一些细腻刻画甚至称得上突破了国产爱情片悬浮烂俗怪圈的表现，可惜依然逃不出类型的桎梏：从天而降拯救女主的男主、莫名其妙的恶毒女配、过度美化的初恋情结。女主已经凭借个人努力逃离了令她窒息的原生家庭，见过了外面的世界，却还是为了所谓错过10年的初恋放弃事业回了老家。现实里老家没有张新成，你的初恋可能已经变成油腻大肚男。看电影的时候我后面的女生感动啜泣，同时响起了男人打鼾的声音。看完走出来一看这对情侣女生瘦得像麻杆而且打扮很漂亮，男的像个猪头穿得像唐山打人的还挺个大肚子，女生还很激动地给朋友发语音推荐这部电影。每一对瞎眼情侣的产生都和这样不真实的浪漫爱情电影脱不开干系。,20,2,0
林七,2023/4/29 22:52,如坐针毡，如鲠在喉，如芒刺背,10,19,0
冬瓜,2023/5/3 14:55,都什么年代了，还能拍出二十年前的偶像剧廉价感，也是不容易。,20,3,0
木木,2023/4/30 21:40,画面唯美，演技优秀，ost绝佳，但，没有击中心底，没有被感动，也许不是电影缺了什么，是我自己，缺了什么吧。,40,10,1
崔冰冰（可爱版,2023/4/28 21:41,应该叫陈见夏成长记哈哈哈哈 开玩笑?? 亲情占比有一丢丢多 不过嘛男女主两个人颜值演技都很够 特别是张新成 完全跟之前很有名那个角色林杨没啥关系了 演技真的很顶????虽然我没有哭 但身边的小姐姐哭了的不少 可能是我生活太幸福了没法感同身受 我就是去看帅哥美女的????,50,136,1
一天天的uccu,2023/4/28 22:44,大屏幕看本哥真的好帅啊啊啊啊??????扣一星是因为最期待的镜头没了！！！！,40,53,1
最幸运的幸运,2023/4/29 19:24,2023.4.29 耀莱成龙国际影城 八月长安真的太细腻了，拍的每一部我都好喜欢，男主女主很很会撩，而且都是很耐看的那种，让两位老阿姨一直笑的很乐呵呵的。都想要被爱，都渴望遇上一个小太阳林杨，也渴望遇到一个无论如何会等待会挽留的李燃，也更渴望成为一个有勇气有选择去追求的陈见夏。帅哥真的是很治愈，一扫近日份糟糕心情。,40,22,1
猫咪看足球,2023/4/28 23:41,就，一般，本哥演高中生还是老了,30,22,1
调皮的TOM,2023/5/2 17:38,對話非常好，電影院的女生傻笑個不停,30,0,1
叶公好龙,2023/5/1 12:48,难看,20,5,0
轻松忆,2023/5/2 22:09,不是给淑芬看的，要不然也不会把秦淮河的高光情节“就当路过我这只蜻蜓”改到了西溪湿地，还删掉了这句词。书里最精彩的陈见夏os也全不见，导致电影里的陈见夏魅力减半。尽管如此，还是鼻酸了好几次，因为别扭的那个陈见夏她还在。,30,1,1
沫,2023/4/30 18:41,很好看，光线终于不虚假营销啦，很少有这种理智的大女主电影啦,50,35,1
卢 垚,2023/4/28 22:03,蛮割裂的 高中部分相遇的动心的部分太稀碎了 完全没有原著那种细腻 男女主角包括女主家庭中的人物性格刻画有点表面,20,23,0
djfish,2023/4/28 23:33,明明是爱情故事，却被亲情戏打败了。虽然独生女没有父母重男轻女的烦恼，还是被母女和父女的对话打击到七零八碎。没想到演员这么棒！,50,53,1
溪 上,2023/4/30 17:31,5。小镇做题家部份呜呜。孙千太可爱了！,30,3,1
莹莹,2023/5/1 9:42,东亚人啥时候才能明白你父母可能真的就是不爱你啊 日了够了,10,36,0
邵禹升,2023/5/2 22:47,"没有细节，胜在质感。插曲多到有点发指，在爱情的路上，总是有点诙谐，让另一半觉得欢喜，愿意和你在一起，然而没有这技能的人，似乎不配谈感情……
它的空洞是泡沫一般，看着很漂亮，内核不扎实！",30,0,1
appleaday,2023/5/2 19:22,大可不必给她妈洗白,20,8,0
A。,2023/5/6 19:06,张新成和孙千年龄有点差辈，一个已经过了青春时期，一个在成年后的戏份较为吃力。以及，张新成明显是一张“聪明人”的脸，演小混混还是有点困难。,30,2,1
雨芒,2023/4/30 23:30,"有钱是真的好
我可以假定这个寄竹青和原著是把自己被亲生母亲白眼儿的经历夹在这剧中了嘛??",30,1,1
闪闪,2023/4/28 21:50,平平无奇的电影，只是有时，惦念一个人的感觉很好，爱着一个人的感觉也很好,30,15,1
沛沛,2023/5/6 21:01,这个片儿不算最好，但是说明白了两个人的一件事，就算良心。电影是大众艺术。,50,1,1
黑巡一号,2023/5/8 22:27,写得好，拍得好,40,0,1
